"gender";"age_donor_cat";"region";"donor_yes_no";"bonus_status";"sum_confirmed_donations";"sum_count_bonuses_taken";"sum_unconfirmed_donations";"cnt_donor";"cnt_networks";"cnt_connection_donor"
Женский;от_30_до_40;Россия, Москва;является донором;без_бонусов;2698;0;237;417;204;403
нет_данных;нет данных;Россия, Татарстан, Набережные Челны;не_является_донором;без_бонусов;0;0;51;414;280;308
Женский;моложе_18;нет_данных;не_является_донором;без_бонусов;0;0;0;411;6;410
нет_данных;нет данных;Украина, Киевская область, Киев;является донором;без_бонусов;796;0;11;408;272;377
нет_данных;нет данных;Россия, Иркутская область, Иркутск;не_является_донором;без_бонусов;0;0;34;400;329;302
Мужской;от_30_до_40;Россия, Москва;является донором;без_бонусов;3343;0;238;394;185;387
нет_данных;нет данных;Россия, Свердловская область, Екатеринбург;является донором;без_бонусов;1230;0;15;389;324;357
нет_данных;нет данных;Россия, Приморский край, Владивосток;не_является_донором;без_бонусов;0;0;23;380;295;290
нет_данных;нет данных;Россия, Чувашия, Чебоксары;не_является_донором;без_бонусов;0;0;17;370;331;234
нет_данных;нет данных;Россия, Калининградская область, Калининград;не_является_донором;без_бонусов;0;0;31;366;309;238
нет_данных;нет данных;Россия, Башкортостан, Уфа;является донором;без_бонусов;858;0;20;364;310;333
нет_данных;нет данных;Россия, Хабаровский край, Хабаровск;не_является_донором;без_бонусов;0;0;54;359;306;238
нет_данных;нет данных;_, Донецкая область, Донецк;не_является_донором;без_бонусов;0;0;0;356;309;231
нет_данных;нет данных;Россия, Ульяновская область, Ульяновск;не_является_донором;без_бонусов;0;0;55;355;265;261
нет_данных;нет данных;Россия, Тульская область, Тула;не_является_донором;без_бонусов;0;0;15;336;281;240
нет_данных;нет данных;Россия, Ярославская область, Ярославль;является донором;без_бонусов;1056;0;21;331;279;289
нет_данных;нет данных;Россия, Удмуртия, Ижевск;не_является_донором;без_бонусов;0;0;63;325;292;217
нет_данных;нет данных;Казахстан, Астана;не_является_донором;без_бонусов;0;0;0;325;268;233
Женский;от_30_до_40;Россия, Татарстан, Казань;не_является_донором;без_бонусов;0;0;36;318;108;290
нет_данных;нет данных;Россия, Калужская область, Калуга;не_является_донором;без_бонусов;0;0;34;317;265;219
Мужской;от_18_до_30;Россия, Москва;является донором;без_бонусов;1586;0;83;315;182;294
Мужской;от_18_до_30;Россия, Татарстан, Казань;не_является_донором;без_бонусов;0;0;32;310;143;266
нет_данных;нет данных;Россия, Крым, Симферополь;не_является_донором;без_бонусов;0;0;26;299;244;204
нет_данных;нет данных;Беларусь, Гомельская область, Гомель;не_является_донором;без_бонусов;0;0;3;297;276;212
нет_данных;нет данных;Россия, Карелия, Петрозаводск;не_является_донором;без_бонусов;0;0;14;295;269;184
нет_данных;нет данных;Россия, Краснодарский край, Краснодар;является донором;без_бонусов;710;0;14;295;235;275
нет_данных;нет данных;Россия, Пензенская область, Пенза;не_является_донором;без_бонусов;0;0;33;292;236;203
нет_данных;нет данных;Россия, Брянская область, Брянск;не_является_донором;без_бонусов;0;0;39;283;212;208
нет_данных;нет данных;Россия, Самарская область, Тольятти;не_является_донором;без_бонусов;0;0;17;281;240;197
нет_данных;нет данных;Россия, Кировская область, Киров;не_является_донором;без_бонусов;0;0;23;280;224;183
нет_данных;нет данных;Украина, Львовская область, Львов;не_является_донором;без_бонусов;0;0;2;278;230;204
нет_данных;нет данных;Украина, Николаевская область, Николаев;не_является_донором;без_бонусов;0;0;3;277;247;212
Мужской;от_30_до_40;Россия, Москва;является донором;тратит_бонусы;5357;987;214;272;128;267
Мужской;от_30_до_40;Россия, Татарстан, Казань;не_является_донором;без_бонусов;0;0;30;264;94;249
Мужской;от_40_до_50;Россия, Москва;не_является_донором;без_бонусов;0;0;82;264;56;255
нет_данных;нет данных;Россия, Ивановская область, Иваново;не_является_донором;без_бонусов;0;0;60;262;186;181
Женский;от_18_до_30;Россия, Санкт-Петербург;является донором;без_бонусов;720;0;63;255;149;244
нет_данных;нет данных;Россия, Мурманская область, Мурманск;не_является_донором;без_бонусов;0;0;11;251;210;145
Женский;от_60_до_70;нет_данных;не_является_донором;без_бонусов;0;0;0;248;15;241
нет_данных;нет данных;Россия, Башкортостан, Стерлитамак;не_является_донором;без_бонусов;0;0;26;243;201;183
нет_данных;нет данных;Россия, Ростовская область, Ростов-на-Дону;является донором;без_бонусов;542;0;7;241;191;217
нет_данных;нет данных;Россия, Татарстан, Альметьевск;не_является_донором;без_бонусов;0;0;43;239;120;196
Женский;от_40_до_50;Россия, Москва;не_является_донором;без_бонусов;0;0;72;237;40;229
Мужской;от_60_до_70;нет_данных;не_является_донором;без_бонусов;0;0;1;237;11;235
нет_данных;нет данных;Россия, Крым, Севастополь;не_является_донором;без_бонусов;0;0;22;234;201;178
нет_данных;нет данных;Россия, Курская область, Курск;не_является_донором;без_бонусов;0;0;25;225;185;166
нет_данных;нет данных;Россия, Пермский край, Пермь;является донором;без_бонусов;478;0;17;224;196;196
нет_данных;нет данных;Россия, Ханты-Мансийский Автономный округ - Югра АО, Сургут;не_является_донором;без_бонусов;0;0;41;222;165;169
нет_данных;нет данных;Украина, Винницкая область, Винница;не_является_донором;без_бонусов;0;0;2;219;193;157
нет_данных;нет данных;Беларусь, Гродненская область, Гродно;не_является_донором;без_бонусов;0;0;0;219;204;163
Женский;от_30_до_40;Россия, Санкт-Петербург;является донором;без_бонусов;1389;0;107;217;127;208
нет_данных;нет данных;Россия, Архангельская область, Архангельск;не_является_донором;без_бонусов;0;0;14;216;182;149
нет_данных;нет данных;Украина, Днепропетровская область, Кривой Рог;не_является_донором;без_бонусов;0;0;2;211;186;152
нет_данных;нет данных;Россия, Оренбургская область, Оренбург;не_является_донором;без_бонусов;0;0;41;211;165;146
нет_данных;нет данных;Россия, Амурская область, Благовещенск;не_является_донором;без_бонусов;0;0;41;206;136;165
нет_данных;нет данных;Россия, Курганская область, Курган;не_является_донором;без_бонусов;0;0;13;205;178;141
Мужской;от_18_до_30;Россия, Москва;является донором;тратит_бонусы;2353;631;74;204;119;193
